"region","species_name","cuid","cu_name_pse","cosewic_status","cosewic_status_yr","cosewic_source","wsp_status","wsp_status_yr","wsp_source","province_status","province_status_yr","province_source"
"Skeena","Chinook",205,"Ecstall","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",206,"Kalum-Early","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",207,"Kalum-Late","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",210,"Lower Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",212,"Upper Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",221,"Upper Bulkley River","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",222,"Middle Skeena-Large Lakes","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",224,"Skeena Estuary","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",227,"Lakelse","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chinook",229,"Zymoetz","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum",211,"Lower Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum",214,"Middle Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum",220,"Skeena Estuary","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Chum",242,"Upper Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho",202,"Lower Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho",215,"Middle Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho",225,"Skeena Estuary","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Coho",231,"Upper Skeena","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",171,"Alastair","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",174,"Ecstall/Lower","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",175,"Johnston","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",176,"Kitsumkalum","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",177,"Lakelse","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",178,"Mcdonell/Dennis/Aldrich","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",180,"Babine/Onerka","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",181,"Bulkley/Maxan","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",183,"Gitanyow (Kitwanga/Kitwancool)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",185,"Morice/Atna","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",186,"Nilkitkwa","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",187,"Stephens","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",189,"Tahlo/Morrison","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",190,"Asitika","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",191,"Azuklotz","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",192,"Bear","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",193,"Damshilgwit","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",194,"Johanson","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",195,"Kluatantan","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",196,"Kluayaz","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",197,"Motase","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",198,"Sicintine","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",199,"Slamgeesh","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",200,"Spawning","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",201,"Sustut","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
"Skeena","Lake sockeye",203,"Babine (enhanced)","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898","-989898"
