NPAFC Salmonid Catch Statistics 1925–2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,Whole Country/Province/State,Reporting Area,Species,Catch Type,Data Type,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,Whole country,Whole country,Total,Commercial,Number (000's),"22,744.90","28,850.50","17,081.90","29,417.20","18,887.40","34,486.50","16,526.10","15,945.40","18,625.70","21,521.30","22,766.90","27,030.80","22,008.80","22,681.80","20,324.40","17,317.20","23,540.60","21,368.50","16,795.90","14,468.70","23,756.40","15,732.30","25,559.40","18,190.10","20,782.00","22,335.00","27,661.60","22,157.00","25,580.00","21,297.00","19,496.00","17,090.00","20,843.00","26,208.00","15,904.00","11,576.00","18,086.00","32,767.00","19,967.00","20,608.00","14,178.00","29,157.00","21,840.00","35,889.00","11,536.00","25,749.00","22,138.00","28,303.00","25,011.00","21,729.00","11,642.00","22,042.00","22,476.00","25,651.00","23,286.00","19,648.00","31,549.00","20,103.00","35,518.00","19,008.00","41,726.00","39,822.00","25,103.00","37,200.00","36,679.00","39,079.00","40,807.00","26,074.00","34,916.00","21,009.00","20,678.00","14,950.57","20,669.36","9,392.05","8,067.13","8,756.52","11,357.18","12,914.97","17,259.10","9,043.48","11,888.76","8,164.95","8,805.22","1,692.12","11,163.32","11,459.72","9,731.48","3,012.94","14,527.17","14,836.65","5,434.59","6,848.28","3,824.17","5,337.84","1,174.44","2,448.13",668.10,"2,299.23","2,291.05"
Canada,British Columbia,Fraser River,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,170.10","2,361.59",409.86,85.57,508.21,500.89,"1,207.92",623.70,709.82,84.05,970.58,41.33,57.48,152.69,"3,414.52","1,026.40",18.61,"1,875.66","3,132.78",250.12,390.02,221.26,"1,863.05",461.27,52.53,63.86,270.87,528.93
Canada,British Columbia,South Coast,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499.54,"11,095.66","3,395.80",251.19,"2,202.71","1,926.79","2,468.18","3,010.48","2,368.95","1,288.32","3,503.95",596.26,350.31,"1,910.83","6,217.96","5,231.25",570.69,"1,743.02","6,030.93",989.11,"2,279.08",856.03,"2,232.45",24.75,205.91,32.15,129.45,57.29
Canada,British Columbia,West Coast Vancouver Island,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,239.25","1,345.11","1,112.33",425.09,148.48,441.34,"1,478.44","1,184.78",835.92,"1,021.26",849.89,321.07,168.08,89.58,838.95,881.85,306.43,97.04,588.54,"1,119.36","1,068.77",167.21,114.78,89.23,76.72,143.07,267.04,234.56
Canada,British Columbia,Central Coast,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744.17,705.26,"1,189.63",317.20,119.81,"1,116.73","1,429.04","1,329.98","1,262.37",903.28,426.52,475.31,17.18,174.40,7.19,88.27,182.97,859.01,74.18,"1,631.04",682.65,"1,067.09",509.09,163.09,38.97,2.11,0.69,0.52
Canada,British Columbia,North Coast,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9,492.23","3,351.44","2,170.78","6,610.79","4,995.24","7,055.05","5,881.19","10,606.37","3,265.97","8,070.23","2,049.90","7,095.13",956.55,"8,513.48",301.69,"2,145.72","1,404.82","9,470.55","3,943.56",973.02,"1,950.66","1,028.41",325.76,121.09,"1,615.84",178.15,"1,336.19","1,152.64"
Canada,British Columbia,Haida Gwaii,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,682.69","1,716.69","1,047.28",307.00,718.04,232.93,391.58,402.52,486.08,521.63,364.10,276.12,142.52,322.35,679.41,357.99,529.41,406.68,991.79,378.01,343.60,404.18,243.62,263.71,427.83,214.39,248.49,273.35
Canada,British Columbia,Taku/Stikine,Total,Commercial,Number (000's),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.59,93.62,66.37,70.29,64.03,83.45,58.61,101.27,114.37,,,,,,,,,75.21,74.87,93.94,133.51,80.00,49.09,51.31,30.32,34.37,46.51,43.77
Canada,Whole country,Whole country,Pink,Commercial,Number (000's),"7,508.80","13,611.10","3,917.90","13,864.40","7,460.90","19,033.30","5,670.10","4,428.90","8,700.80","8,638.90","8,785.90","11,730.90","9,855.80","8,177.20","10,558.70","3,985.30","7,563.30","4,792.60","9,178.00","6,092.00","12,763.70","2,300.50","12,334.00","7,012.80","10,854.00","6,876.00","11,764.60","11,217.00","11,106.00","5,439.00","11,240.00","7,352.00","11,310.00","6,908.00","6,776.00","4,098.00","8,305.00","23,429.00","12,200.00","9,628.00","5,108.00","17,261.00","9,712.00","20,247.00","2,564.00","13,580.00","8,445.00","13,995.00","6,493.00","7,372.00","4,620.00","10,344.00","10,307.00","10,748.00","11,807.00","8,364.00","18,072.00","2,675.00","23,944.00","7,491.00","20,224.00","17,977.00","13,349.00","23,122.00","17,050.00","17,223.00","23,977.00","10,263.00","10,127.00","2,207.00","11,727.00","5,716.42","6,561.57","2,422.07","6,074.03","4,494.32","6,826.44","5,334.50","10,716.33","2,349.98","8,285.00",777.54,"6,609.15",225.56,"9,805.74",777.50,"5,910.74",781.52,"12,191.42","4,239.16","1,437.47","1,759.23","1,658.53",296.04,593.20,"1,918.65",295.54,681.03,"1,475.22"
Canada,Whole country,Whole country,Chum,Commercial,Number (000's),"5,869.70","7,047.50","5,476.60","8,763.00","4,062.40","4,691.60","4,118.40","4,054.00","3,321.50","4,898.20","4,685.00","5,935.30","4,784.10","5,016.30","2,821.10","5,373.30","5,400.80","5,424.50","2,655.60","2,630.70","2,783.50","5,000.30","5,749.40","5,137.90","3,035.00","7,273.00","6,460.00","2,479.00","4,672.00","5,838.00","1,569.00","2,458.00","2,412.00","3,192.00","2,015.00","1,837.00","1,218.00","1,496.00","1,463.00","2,253.00",633.00,"1,311.00","1,130.00","3,095.00","1,310.00","3,679.00","1,263.00","6,031.00","6,225.00","2,202.00","1,147.00","1,901.00","1,088.00","2,979.00",851.00,"3,414.00","1,116.00","2,966.00",999.00,"1,843.00","5,470.00","5,580.00","2,267.00","6,167.00","1,809.00","3,175.00","2,349.00","4,006.00","4,221.00","4,322.00","2,475.00","1,438.91","1,946.68","4,861.84","1,070.23",596.69,"1,357.77","2,947.96","3,150.61","3,480.10","2,361.71","2,321.54","1,064.54",461.42,763.29,131.29,"1,907.31",992.93,"1,421.54",716.81,"2,295.30","3,262.00","1,399.11",757.28,185.88,271.11,40.38,131.47,69.48
