"region","year","count","proportion","proportion_CU"
"Fraser",1926,0,0,0
"Fraser",1927,0,0,0
"Fraser",1928,0,0,0
"Fraser",1929,0,0,0
"Fraser",1930,0,0,0
"Fraser",1933,0,0,0
"Fraser",1934,0,0,0
"Fraser",1935,0,0,0
"Fraser",1936,0,0,0
"Fraser",1937,0,0,0
"Fraser",1938,30,0.0394736842105263,0.351851851851852
"Fraser",1939,26,0.0299194476409666,0.267857142857143
"Fraser",1940,32,0.0421052631578947,0.351851851851852
"Fraser",1941,40,0.046029919447641,0.303571428571429
"Fraser",1942,34,0.0447368421052632,0.277777777777778
"Fraser",1943,22,0.0253164556962025,0.267857142857143
"Fraser",1944,28,0.0368421052631579,0.314814814814815
"Fraser",1945,39,0.0448791714614499,0.321428571428571
"Fraser",1946,46,0.0605263157894737,0.333333333333333
"Fraser",1947,29,0.0333716915995397,0.321428571428571
"Fraser",1948,28,0.0368421052631579,0.296296296296296
"Fraser",1949,57,0.0655926352128884,0.321428571428571
"Fraser",1950,60,0.0789473684210526,0.351851851851852
"Fraser",1951,142,0.163406214039125,0.678571428571429
"Fraser",1952,145,0.190789473684211,0.722222222222222
"Fraser",1953,220,0.253164556962025,0.75
"Fraser",1954,200,0.263157894736842,0.777777777777778
"Fraser",1955,173,0.199079401611047,0.75
"Fraser",1956,179,0.235526315789474,0.759259259259259
"Fraser",1957,247,0.284234752589183,0.785714285714286
"Fraser",1958,222,0.292105263157895,0.814814814814815
"Fraser",1959,230,0.264672036823936,0.767857142857143
"Fraser",1960,198,0.260526315789474,0.759259259259259
"Fraser",1961,261,0.300345224395857,0.75
"Fraser",1962,227,0.298684210526316,0.814814814814815
"Fraser",1963,244,0.28078250863061,0.821428571428571
"Fraser",1964,199,0.261842105263158,0.833333333333333
"Fraser",1965,264,0.30379746835443,0.75
"Fraser",1966,215,0.282894736842105,0.777777777777778
"Fraser",1967,253,0.291139240506329,0.785714285714286
"Fraser",1968,205,0.269736842105263,0.814814814814815
"Fraser",1969,258,0.296892980437284,0.75
"Fraser",1970,225,0.296052631578947,0.796296296296296
"Fraser",1971,268,0.308400460299194,0.803571428571429
"Fraser",1972,227,0.298684210526316,0.87037037037037
"Fraser",1973,267,0.307249712313003,0.75
"Fraser",1974,252,0.331578947368421,0.851851851851852
"Fraser",1975,313,0.360184119677791,0.910714285714286
"Fraser",1976,279,0.367105263157895,0.907407407407407
"Fraser",1977,351,0.403912543153049,0.875
"Fraser",1978,320,0.421052631578947,0.87037037037037
"Fraser",1979,348,0.400460299194476,0.857142857142857
"Fraser",1980,298,0.392105263157895,0.925925925925926
"Fraser",1981,370,0.425776754890679,0.875
"Fraser",1982,343,0.451315789473684,0.888888888888889
"Fraser",1983,360,0.414269275028769,0.892857142857143
"Fraser",1984,318,0.418421052631579,0.907407407407407
"Fraser",1985,379,0.436133486766398,0.892857142857143
"Fraser",1986,362,0.476315789473684,0.888888888888889
"Fraser",1987,356,0.409666283084005,0.892857142857143
"Fraser",1988,318,0.418421052631579,0.925925925925926
"Fraser",1989,384,0.441887226697353,0.910714285714286
"Fraser",1990,355,0.467105263157895,0.87037037037037
"Fraser",1991,383,0.440736478711162,0.839285714285714
"Fraser",1992,317,0.417105263157895,0.888888888888889
"Fraser",1993,329,0.378596087456847,0.857142857142857
"Fraser",1994,254,0.334210526315789,0.833333333333333
"Fraser",1995,271,0.311852704257768,0.839285714285714
"Fraser",1996,265,0.348684210526316,0.944444444444444
"Fraser",1997,292,0.336018411967779,0.910714285714286
"Fraser",1998,313,0.411842105263158,0.888888888888889
"Fraser",1999,297,0.341772151898734,0.875
"Fraser",2000,278,0.365789473684211,0.888888888888889
"Fraser",2001,389,0.447640966628308,0.875
"Fraser",2002,353,0.464473684210526,0.925925925925926
"Fraser",2003,279,0.321058688147296,0.875
"Fraser",2004,280,0.368421052631579,0.907407407407407
"Fraser",2005,303,0.34867663981588,0.857142857142857
"Fraser",2006,321,0.422368421052632,0.888888888888889
"Fraser",2007,286,0.329113924050633,0.857142857142857
"Fraser",2008,267,0.351315789473684,0.888888888888889
"Fraser",2009,334,0.384349827387802,0.875
"Fraser",2010,397,0.522368421052632,0.925925925925926
"Fraser",2011,305,0.350978135788262,0.875
"Fraser",2012,280,0.368421052631579,0.888888888888889
"Fraser",2013,344,0.395857307249712,0.821428571428571
"Fraser",2014,373,0.490789473684211,0.851851851851852
"Fraser",2015,292,0.336018411967779,0.821428571428571
"Fraser",2016,270,0.355263157894737,0.87037037037037
"Fraser",2017,280,0.322209436133487,0.839285714285714
"Fraser",2018,341,0.448684210526316,0.87037037037037
"Fraser",2019,256,0.294591484464902,0.839285714285714
"Fraser",2020,221,0.290789473684211,0.851851851851852
"Fraser",2021,283,0.32566168009206,0.803571428571429
"Fraser",2022,249,0.327631578947368,0.777777777777778
"Vancouver Island & Mainland Inlets",1926,0,0,0
"Vancouver Island & Mainland Inlets",1927,0,0,0
"Vancouver Island & Mainland Inlets",1928,0,0,0
"Vancouver Island & Mainland Inlets",1929,0,0,0
"Vancouver Island & Mainland Inlets",1930,0,0,0
"Vancouver Island & Mainland Inlets",1933,0,0,0
"Vancouver Island & Mainland Inlets",1934,48,0.0264608599779493,0.171052631578947
"Vancouver Island & Mainland Inlets",1935,51,0.0275229357798165,0.164556962025316
"Vancouver Island & Mainland Inlets",1936,53,0.0292171995589857,0.171052631578947
"Vancouver Island & Mainland Inlets",1937,56,0.0302212628170534,0.177215189873418
"Vancouver Island & Mainland Inlets",1938,15,0.00826901874310915,0.131578947368421
"Vancouver Island & Mainland Inlets",1939,62,0.0334592552617377,0.177215189873418
"Vancouver Island & Mainland Inlets",1940,60,0.0330760749724366,0.184210526315789
"Vancouver Island & Mainland Inlets",1941,11,0.00593631948192121,0.0886075949367089
"Vancouver Island & Mainland Inlets",1942,55,0.0303197353914002,0.184210526315789
"Vancouver Island & Mainland Inlets",1943,56,0.0302212628170534,0.177215189873418
"Vancouver Island & Mainland Inlets",1944,45,0.0248070562293275,0.184210526315789
"Vancouver Island & Mainland Inlets",1945,0,0,0
"Vancouver Island & Mainland Inlets",1946,21,0.0115766262403528,0.131578947368421
"Vancouver Island & Mainland Inlets",1947,20,0.0107933081489477,0.126582278481013
"Vancouver Island & Mainland Inlets",1948,27,0.0148842337375965,0.171052631578947
"Vancouver Island & Mainland Inlets",1949,27,0.0145709660010793,0.177215189873418
"Vancouver Island & Mainland Inlets",1950,39,0.0214994487320838,0.184210526315789
"Vancouver Island & Mainland Inlets",1951,32,0.0172692930383162,0.20253164556962
"Vancouver Island & Mainland Inlets",1952,42,0.0231532524807056,0.197368421052632
"Vancouver Island & Mainland Inlets",1953,813,0.438747976254722,0.759493670886076
"Vancouver Island & Mainland Inlets",1954,881,0.485667034178611,0.815789473684211
"Vancouver Island & Mainland Inlets",1955,844,0.455477603885591,0.772151898734177
"Vancouver Island & Mainland Inlets",1956,949,0.523153252480706,0.789473684210526
"Vancouver Island & Mainland Inlets",1957,894,0.48246087425796,0.810126582278481
"Vancouver Island & Mainland Inlets",1958,944,0.520396912899669,0.815789473684211
"Vancouver Island & Mainland Inlets",1959,847,0.457096600107933,0.810126582278481
"Vancouver Island & Mainland Inlets",1960,846,0.466372657111356,0.815789473684211
"Vancouver Island & Mainland Inlets",1961,828,0.446842957366433,0.835443037974684
"Vancouver Island & Mainland Inlets",1962,867,0.477949283351709,0.868421052631579
"Vancouver Island & Mainland Inlets",1963,810,0.43712898003238,0.822784810126582
"Vancouver Island & Mainland Inlets",1964,882,0.486218302094818,0.855263157894737
"Vancouver Island & Mainland Inlets",1965,847,0.457096600107933,0.835443037974684
"Vancouver Island & Mainland Inlets",1966,892,0.491730981256891,0.815789473684211
"Vancouver Island & Mainland Inlets",1967,787,0.42471667566109,0.822784810126582
"Vancouver Island & Mainland Inlets",1968,903,0.497794928335171,0.828947368421053
"Vancouver Island & Mainland Inlets",1969,759,0.409606044252563,0.810126582278481
"Vancouver Island & Mainland Inlets",1970,888,0.489525909592062,0.802631578947368
"Vancouver Island & Mainland Inlets",1971,808,0.436049649217485,0.848101265822785
"Vancouver Island & Mainland Inlets",1972,872,0.480705622932745,0.789473684210526
"Vancouver Island & Mainland Inlets",1973,813,0.438747976254722,0.822784810126582
"Vancouver Island & Mainland Inlets",1974,861,0.474641675854465,0.789473684210526
"Vancouver Island & Mainland Inlets",1975,817,0.440906637884512,0.810126582278481
"Vancouver Island & Mainland Inlets",1976,789,0.434950385887541,0.776315789473684
"Vancouver Island & Mainland Inlets",1977,793,0.427954668105774,0.810126582278481
"Vancouver Island & Mainland Inlets",1978,804,0.443219404630651,0.842105263157895
"Vancouver Island & Mainland Inlets",1979,807,0.435509983810038,0.822784810126582
"Vancouver Island & Mainland Inlets",1980,705,0.38864388092613,0.789473684210526
"Vancouver Island & Mainland Inlets",1981,690,0.372369131138694,0.784810126582278
"Vancouver Island & Mainland Inlets",1982,619,0.341234840132304,0.802631578947368
"Vancouver Island & Mainland Inlets",1983,622,0.335671883432272,0.69620253164557
"Vancouver Island & Mainland Inlets",1984,595,0.32800441014333,0.710526315789474
"Vancouver Island & Mainland Inlets",1985,804,0.433890987587696,0.79746835443038
"Vancouver Island & Mainland Inlets",1986,798,0.439911797133407,0.75
"Vancouver Island & Mainland Inlets",1987,662,0.357258499730167,0.734177215189873
"Vancouver Island & Mainland Inlets",1988,673,0.371003307607497,0.763157894736842
"Vancouver Island & Mainland Inlets",1989,679,0.366432811656773,0.734177215189873
"Vancouver Island & Mainland Inlets",1990,685,0.377618522601985,0.736842105263158
"Vancouver Island & Mainland Inlets",1991,755,0.407447382622774,0.746835443037975
"Vancouver Island & Mainland Inlets",1992,701,0.386438809261301,0.776315789473684
"Vancouver Island & Mainland Inlets",1993,700,0.377765785213168,0.759493670886076
"Vancouver Island & Mainland Inlets",1994,627,0.345644983461963,0.684210526315789
"Vancouver Island & Mainland Inlets",1995,667,0.359956826767404,0.658227848101266
"Vancouver Island & Mainland Inlets",1996,804,0.443219404630651,0.75
"Vancouver Island & Mainland Inlets",1997,798,0.430652995143011,0.784810126582278
"Vancouver Island & Mainland Inlets",1998,784,0.432194046306505,0.763157894736842
"Vancouver Island & Mainland Inlets",1999,606,0.327037236913114,0.683544303797468
"Vancouver Island & Mainland Inlets",2000,613,0.337927232635061,0.697368421052632
"Vancouver Island & Mainland Inlets",2001,685,0.369670804101457,0.69620253164557
"Vancouver Island & Mainland Inlets",2002,654,0.360529217199559,0.684210526315789
"Vancouver Island & Mainland Inlets",2003,510,0.275229357798165,0.683544303797468
"Vancouver Island & Mainland Inlets",2004,435,0.239801543550165,0.631578947368421
"Vancouver Island & Mainland Inlets",2005,362,0.195358877495953,0.594936708860759
"Vancouver Island & Mainland Inlets",2006,353,0.194597574421169,0.657894736842105
"Vancouver Island & Mainland Inlets",2007,362,0.195358877495953,0.607594936708861
"Vancouver Island & Mainland Inlets",2008,383,0.211135611907387,0.618421052631579
"Vancouver Island & Mainland Inlets",2009,431,0.232595790609822,0.632911392405063
"Vancouver Island & Mainland Inlets",2010,411,0.226571113561191,0.684210526315789
"Vancouver Island & Mainland Inlets",2011,467,0.252023745277928,0.632911392405063
"Vancouver Island & Mainland Inlets",2012,368,0.202866593164278,0.592105263157895
"Vancouver Island & Mainland Inlets",2013,398,0.214786832164058,0.607594936708861
"Vancouver Island & Mainland Inlets",2014,339,0.186879823594267,0.592105263157895
"Vancouver Island & Mainland Inlets",2015,344,0.1856449001619,0.607594936708861
"Vancouver Island & Mainland Inlets",2016,317,0.174751929437707,0.605263157894737
"Vancouver Island & Mainland Inlets",2017,333,0.179708580679978,0.594936708860759
"Vancouver Island & Mainland Inlets",2018,353,0.194597574421169,0.605263157894737
"Vancouver Island & Mainland Inlets",2019,363,0.1958985429034,0.556962025316456
"Vancouver Island & Mainland Inlets",2020,398,0.219404630650496,0.605263157894737
"Vancouver Island & Mainland Inlets",2021,374,0.201834862385321,0.658227848101266
"Vancouver Island & Mainland Inlets",2022,376,0.207276736493936,0.657894736842105
"Haida Gwaii",1926,1,0.00161290322580645,0.04
"Haida Gwaii",1927,2,0.0037593984962406,0.08
"Haida Gwaii",1928,2,0.0032258064516129,0.08
"Haida Gwaii",1929,2,0.0037593984962406,0.08
"Haida Gwaii",1930,0,0,0
"Haida Gwaii",1933,1,0.0018796992481203,0.04
"Haida Gwaii",1934,98,0.158064516129032,0.52
"Haida Gwaii",1935,103,0.193609022556391,0.56
