"region","species","year","count","proportion","proportion_CU"
"Fraser","Chum",1926,0,0,0
"Fraser","Chum",1927,0,0,0
"Fraser","Chum",1928,0,0,0
"Fraser","Chum",1929,0,0,0
"Fraser","Chum",1930,0,0,0
"Fraser","Chum",1933,0,0,0
"Fraser","Chum",1934,0,0,0
"Fraser","Chum",1935,0,0,0
"Fraser","Chum",1936,0,0,0
"Fraser","Chum",1937,0,0,0
"Fraser","Chum",1938,0,0,0
"Fraser","Chum",1939,0,0,0
"Fraser","Chum",1940,0,0,0
"Fraser","Chum",1941,0,0,0
"Fraser","Chum",1942,0,0,0
"Fraser","Chum",1943,0,0,0
"Fraser","Chum",1944,0,0,0
"Fraser","Chum",1945,0,0,0
"Fraser","Chum",1946,0,0,0
"Fraser","Chum",1947,0,0,0
"Fraser","Chum",1948,0,0,0
"Fraser","Chum",1949,0,0,0
"Fraser","Chum",1950,0,0,0
"Fraser","Chum",1951,0,0,0
"Fraser","Chum",1952,0,0,0
"Fraser","Chum",1953,40,0.384615384615385,1
"Fraser","Chum",1954,35,0.336538461538462,1
"Fraser","Chum",1955,34,0.326923076923077,1
"Fraser","Chum",1956,33,0.317307692307692,1
"Fraser","Chum",1957,39,0.375,1
"Fraser","Chum",1958,41,0.394230769230769,1
"Fraser","Chum",1959,39,0.375,1
"Fraser","Chum",1960,35,0.336538461538462,1
"Fraser","Chum",1961,40,0.384615384615385,1
"Fraser","Chum",1962,35,0.336538461538462,1
"Fraser","Chum",1963,36,0.346153846153846,1
"Fraser","Chum",1964,37,0.355769230769231,1
"Fraser","Chum",1965,37,0.355769230769231,1
"Fraser","Chum",1966,39,0.375,1
"Fraser","Chum",1967,36,0.346153846153846,1
"Fraser","Chum",1968,38,0.365384615384615,1
"Fraser","Chum",1969,39,0.375,1
"Fraser","Chum",1970,35,0.336538461538462,1
"Fraser","Chum",1971,36,0.346153846153846,1
"Fraser","Chum",1972,35,0.336538461538462,1
"Fraser","Chum",1973,36,0.346153846153846,1
"Fraser","Chum",1974,40,0.384615384615385,1
"Fraser","Chum",1975,39,0.375,1
"Fraser","Chum",1976,40,0.384615384615385,1
"Fraser","Chum",1977,44,0.423076923076923,1
"Fraser","Chum",1978,47,0.451923076923077,1
"Fraser","Chum",1979,44,0.423076923076923,1
"Fraser","Chum",1980,52,0.5,1
"Fraser","Chum",1981,52,0.5,1
"Fraser","Chum",1982,55,0.528846153846154,1
"Fraser","Chum",1983,54,0.519230769230769,1
"Fraser","Chum",1984,60,0.576923076923077,1
"Fraser","Chum",1985,66,0.634615384615385,1
"Fraser","Chum",1986,61,0.586538461538462,1
"Fraser","Chum",1987,46,0.442307692307692,1
"Fraser","Chum",1988,43,0.413461538461538,1
"Fraser","Chum",1989,43,0.413461538461538,1
"Fraser","Chum",1990,50,0.480769230769231,1
"Fraser","Chum",1991,59,0.567307692307692,1
"Fraser","Chum",1992,44,0.423076923076923,1
"Fraser","Chum",1993,55,0.528846153846154,1
"Fraser","Chum",1994,6,0.0576923076923077,1
"Fraser","Chum",1995,25,0.240384615384615,1
"Fraser","Chum",1996,10,0.0961538461538462,1
"Fraser","Chum",1997,17,0.163461538461538,1
"Fraser","Chum",1998,21,0.201923076923077,1
"Fraser","Chum",1999,25,0.240384615384615,1
"Fraser","Chum",2000,8,0.0769230769230769,1
"Fraser","Chum",2001,18,0.173076923076923,1
"Fraser","Chum",2002,17,0.163461538461538,1
"Fraser","Chum",2003,1,0.00961538461538462,1
"Fraser","Chum",2004,18,0.173076923076923,1
"Fraser","Chum",2005,15,0.144230769230769,1
"Fraser","Chum",2006,17,0.163461538461538,1
"Fraser","Chum",2007,27,0.259615384615385,1
