"species","year","count","proportion","proportion_CU"
"Chum",1926,1,0.000722543352601156,0.0277777777777778
"Chum",1927,1,0.000722543352601156,0.0277777777777778
"Chum",1928,1,0.000722543352601156,0.0277777777777778
"Chum",1929,1,0.000722543352601156,0.0277777777777778
"Chum",1930,0,0,0
"Chum",1933,0,0,0
"Chum",1934,174,0.125722543352601,0.416666666666667
"Chum",1935,206,0.148843930635838,0.416666666666667
"Chum",1936,205,0.148121387283237,0.444444444444444
"Chum",1937,195,0.140895953757225,0.416666666666667
"Chum",1938,181,0.130780346820809,0.416666666666667
"Chum",1939,198,0.143063583815029,0.416666666666667
"Chum",1940,199,0.14378612716763,0.444444444444444
"Chum",1941,196,0.141618497109827,0.444444444444444
"Chum",1942,202,0.145953757225434,0.416666666666667
"Chum",1943,200,0.144508670520231,0.416666666666667
"Chum",1944,189,0.136560693641618,0.444444444444444
"Chum",1945,187,0.135115606936416,0.361111111111111
"Chum",1946,181,0.130780346820809,0.472222222222222
"Chum",1947,234,0.169075144508671,0.416666666666667
"Chum",1948,238,0.171965317919075,0.472222222222222
"Chum",1949,240,0.173410404624277,0.5
"Chum",1950,335,0.242052023121387,0.638888888888889
"Chum",1951,348,0.251445086705202,0.666666666666667
"Chum",1952,277,0.20014450867052,0.666666666666667
"Chum",1953,704,0.508670520231214,0.805555555555556
"Chum",1954,722,0.521676300578035,0.75
"Chum",1955,694,0.501445086705202,0.777777777777778
"Chum",1956,706,0.510115606936416,0.777777777777778
"Chum",1957,698,0.504335260115607,0.805555555555556
"Chum",1958,737,0.532514450867052,0.805555555555556
"Chum",1959,642,0.463872832369942,0.75
"Chum",1960,663,0.479046242774566,0.777777777777778
"Chum",1961,681,0.492052023121387,0.833333333333333
"Chum",1962,681,0.492052023121387,0.777777777777778
"Chum",1963,675,0.48771676300578,0.777777777777778
"Chum",1964,707,0.510838150289017,0.833333333333333
"Chum",1965,627,0.453034682080925,0.805555555555556
"Chum",1966,677,0.489161849710983,0.833333333333333
"Chum",1967,672,0.485549132947977,0.833333333333333
"Chum",1968,690,0.498554913294798,0.805555555555556
"Chum",1969,682,0.492774566473988,0.805555555555556
"Chum",1970,694,0.501445086705202,0.833333333333333
"Chum",1971,671,0.484826589595376,0.833333333333333
"Chum",1972,710,0.513005780346821,0.944444444444444
"Chum",1973,723,0.522398843930636,0.944444444444444
"Chum",1974,683,0.49349710982659,0.916666666666667
"Chum",1975,654,0.472543352601156,0.916666666666667
"Chum",1976,661,0.477601156069364,0.888888888888889
"Chum",1977,709,0.51228323699422,0.888888888888889
"Chum",1978,710,0.513005780346821,0.861111111111111
"Chum",1979,706,0.510115606936416,0.861111111111111
"Chum",1980,688,0.497109826589595,0.916666666666667
"Chum",1981,688,0.497109826589595,0.916666666666667
"Chum",1982,692,0.5,0.944444444444444
"Chum",1983,682,0.492774566473988,0.944444444444444
"Chum",1984,706,0.510115606936416,0.972222222222222
"Chum",1985,819,0.591763005780347,0.944444444444444
"Chum",1986,794,0.573699421965318,0.972222222222222
"Chum",1987,742,0.536127167630058,0.944444444444444
"Chum",1988,755,0.545520231213873,0.972222222222222
"Chum",1989,733,0.529624277456647,0.944444444444444
"Chum",1990,703,0.507947976878613,0.944444444444444
"Chum",1991,710,0.513005780346821,0.944444444444444
"Chum",1992,686,0.495664739884393,0.972222222222222
"Chum",1993,710,0.513005780346821,0.916666666666667
"Chum",1994,599,0.432803468208093,0.916666666666667
"Chum",1995,589,0.425578034682081,0.916666666666667
"Chum",1996,665,0.480491329479769,0.916666666666667
"Chum",1997,572,0.413294797687861,0.888888888888889
"Chum",1998,620,0.447976878612717,0.861111111111111
"Chum",1999,471,0.340317919075145,0.777777777777778
"Chum",2000,444,0.320809248554913,0.722222222222222
"Chum",2001,484,0.34971098265896,0.666666666666667
"Chum",2002,515,0.372109826589595,0.861111111111111
"Chum",2003,429,0.309971098265896,0.861111111111111
"Chum",2004,395,0.285404624277457,0.888888888888889
"Chum",2005,373,0.269508670520231,0.888888888888889
"Chum",2006,362,0.261560693641618,0.805555555555556
"Chum",2007,330,0.238439306358382,0.75
"Chum",2008,311,0.22471098265896,0.722222222222222
"Chum",2009,408,0.294797687861272,0.777777777777778
"Chum",2010,343,0.247832369942197,0.75
"Chum",2011,347,0.250722543352601,0.722222222222222
"Chum",2012,373,0.269508670520231,0.722222222222222
"Chum",2013,347,0.250722543352601,0.694444444444444
"Chum",2014,284,0.205202312138728,0.638888888888889
"Chum",2015,313,0.226156069364162,0.694444444444444
"Chum",2016,330,0.238439306358382,0.722222222222222
"Chum",2017,284,0.205202312138728,0.666666666666667
"Chum",2018,319,0.230491329479769,0.666666666666667
"Chum",2019,335,0.242052023121387,0.694444444444444
"Chum",2020,294,0.21242774566474,0.666666666666667
"Chum",2021,258,0.186416184971098,0.666666666666667
"Chum",2022,304,0.219653179190751,0.666666666666667
"Chinook",1926,0,0,0
"Chinook",1927,0,0,0
"Chinook",1928,0,0,0
"Chinook",1929,0,0,0
"Chinook",1930,0,0,0
"Chinook",1933,0,0,0
"Chinook",1934,11,0.0160349854227405,0.0985915492957746
"Chinook",1935,12,0.0174927113702624,0.126760563380282
"Chinook",1936,12,0.0174927113702624,0.126760563380282
"Chinook",1937,11,0.0160349854227405,0.0985915492957746
"Chinook",1938,11,0.0160349854227405,0.0985915492957746
"Chinook",1939,15,0.021865889212828,0.126760563380282
"Chinook",1940,17,0.0247813411078717,0.140845070422535
"Chinook",1941,10,0.0145772594752187,0.0845070422535211
"Chinook",1942,14,0.0204081632653061,0.112676056338028
"Chinook",1943,11,0.0160349854227405,0.0845070422535211
"Chinook",1944,14,0.0204081632653061,0.112676056338028
"Chinook",1945,9,0.0131195335276968,0.0845070422535211
"Chinook",1946,13,0.0189504373177843,0.112676056338028
"Chinook",1947,14,0.0204081632653061,0.126760563380282
"Chinook",1948,18,0.0262390670553936,0.154929577464789
"Chinook",1949,25,0.0364431486880466,0.140845070422535
"Chinook",1950,33,0.0481049562682216,0.197183098591549
"Chinook",1951,74,0.107871720116618,0.450704225352113
"Chinook",1952,64,0.0932944606413994,0.450704225352113
"Chinook",1953,151,0.220116618075802,0.549295774647887
"Chinook",1954,152,0.221574344023324,0.535211267605634
"Chinook",1955,160,0.233236151603499,0.591549295774648
"Chinook",1956,159,0.231778425655977,0.633802816901408
"Chinook",1957,165,0.240524781341108,0.605633802816901
"Chinook",1958,170,0.247813411078717,0.591549295774648
"Chinook",1959,177,0.25801749271137,0.605633802816901
"Chinook",1960,177,0.25801749271137,0.633802816901408
"Chinook",1961,175,0.255102040816327,0.619718309859155
"Chinook",1962,180,0.262390670553936,0.676056338028169
"Chinook",1963,182,0.26530612244898,0.591549295774648
"Chinook",1964,196,0.285714285714286,0.676056338028169
"Chinook",1965,194,0.282798833819242,0.690140845070423
"Chinook",1966,210,0.306122448979592,0.690140845070423
"Chinook",1967,214,0.311953352769679,0.690140845070423
"Chinook",1968,224,0.326530612244898,0.76056338028169
"Chinook",1969,212,0.309037900874636,0.76056338028169
"Chinook",1970,226,0.329446064139942,0.746478873239437
"Chinook",1971,225,0.32798833819242,0.746478873239437
"Chinook",1972,250,0.364431486880466,0.802816901408451
"Chinook",1973,222,0.323615160349854,0.788732394366197
"Chinook",1974,220,0.32069970845481,0.774647887323944
"Chinook",1975,238,0.346938775510204,0.802816901408451
"Chinook",1976,225,0.32798833819242,0.788732394366197
"Chinook",1977,245,0.357142857142857,0.859154929577465
"Chinook",1978,240,0.349854227405248,0.830985915492958
"Chinook",1979,241,0.35131195335277,0.845070422535211
"Chinook",1980,237,0.345481049562682,0.845070422535211
"Chinook",1981,258,0.376093294460641,0.901408450704225
"Chinook",1982,247,0.360058309037901,0.859154929577465
"Chinook",1983,238,0.346938775510204,0.887323943661972
"Chinook",1984,234,0.341107871720117,0.873239436619718
"Chinook",1985,247,0.360058309037901,0.859154929577465
"Chinook",1986,267,0.389212827988338,0.873239436619718
"Chinook",1987,242,0.352769679300292,0.859154929577465
"Chinook",1988,246,0.358600583090379,0.901408450704225
"Chinook",1989,252,0.36734693877551,0.873239436619718
"Chinook",1990,247,0.360058309037901,0.887323943661972
"Chinook",1991,272,0.396501457725948,0.845070422535211
"Chinook",1992,252,0.36734693877551,0.873239436619718
"Chinook",1993,243,0.354227405247813,0.887323943661972
"Chinook",1994,229,0.333819241982507,0.830985915492958
"Chinook",1995,230,0.335276967930029,0.859154929577465
"Chinook",1996,259,0.377551020408163,0.859154929577465
"Chinook",1997,232,0.338192419825073,0.873239436619718
"Chinook",1998,251,0.365889212827988,0.816901408450704
"Chinook",1999,230,0.335276967930029,0.816901408450704
"Chinook",2000,219,0.319241982507289,0.802816901408451
"Chinook",2001,243,0.354227405247813,0.774647887323944
"Chinook",2002,244,0.355685131195335,0.830985915492958
"Chinook",2003,221,0.322157434402332,0.816901408450704
"Chinook",2004,198,0.288629737609329,0.76056338028169
"Chinook",2005,185,0.269679300291545,0.76056338028169
"Chinook",2006,190,0.276967930029155,0.802816901408451
"Chinook",2007,180,0.262390670553936,0.704225352112676
"Chinook",2008,194,0.282798833819242,0.71830985915493
"Chinook",2009,188,0.274052478134111,0.704225352112676
"Chinook",2010,198,0.288629737609329,0.704225352112676
"Chinook",2011,200,0.291545189504373,0.732394366197183
"Chinook",2012,176,0.256559766763848,0.690140845070423
"Chinook",2013,176,0.256559766763848,0.633802816901408
"Chinook",2014,170,0.247813411078717,0.619718309859155
"Chinook",2015,168,0.244897959183673,0.577464788732394
"Chinook",2016,164,0.239067055393586,0.605633802816901
"Chinook",2017,166,0.24198250728863,0.647887323943662
"Chinook",2018,180,0.262390670553936,0.647887323943662
"Chinook",2019,182,0.26530612244898,0.661971830985915
"Chinook",2020,179,0.260932944606414,0.605633802816901
"Chinook",2021,180,0.262390670553936,0.605633802816901
"Chinook",2022,166,0.24198250728863,0.619718309859155
"Coho",1926,1,0.000586510263929619,0.0263157894736842
"Coho",1927,1,0.000586510263929619,0.0263157894736842
"Coho",1928,0,0,0
"Coho",1929,1,0.000586510263929619,0.0263157894736842
"Coho",1930,0,0,0
"Coho",1933,1,0.000586510263929619,0.0263157894736842
"Coho",1934,157,0.0920821114369502,0.447368421052632
"Coho",1935,159,0.0932551319648094,0.421052631578947
"Coho",1936,160,0.093841642228739,0.421052631578947
"Coho",1937,135,0.0791788856304985,0.394736842105263
"Coho",1938,145,0.0850439882697947,0.394736842105263
"Coho",1939,155,0.0909090909090909,0.421052631578947
"Coho",1940,167,0.0979472140762463,0.421052631578947
"Coho",1941,135,0.0791788856304985,0.342105263157895
"Coho",1942,150,0.0879765395894428,0.421052631578947
"Coho",1943,160,0.093841642228739,0.394736842105263
"Coho",1944,178,0.104398826979472,0.421052631578947
"Coho",1945,153,0.0897360703812317,0.315789473684211
"Coho",1946,157,0.0920821114369502,0.368421052631579
"Coho",1947,182,0.106744868035191,0.394736842105263
"Coho",1948,217,0.127272727272727,0.421052631578947
"Coho",1949,238,0.139589442815249,0.421052631578947
"Coho",1950,308,0.180645161290323,0.526315789473684
"Coho",1951,382,0.224046920821114,0.605263157894737
"Coho",1952,321,0.188269794721408,0.552631578947368
"Coho",1953,685,0.401759530791789,0.789473684210526
"Coho",1954,676,0.396480938416422,0.789473684210526
"Coho",1955,653,0.382991202346041,0.789473684210526
"Coho",1956,666,0.390615835777126,0.789473684210526
"Coho",1957,637,0.373607038123167,0.763157894736842
"Coho",1958,674,0.395307917888563,0.815789473684211
"Coho",1959,629,0.36891495601173,0.763157894736842
