"SPECIES","region","Year","count"
"Chinook","Central Coast",1934,6
"Chinook","Central Coast",1935,5
"Chinook","Central Coast",1936,5
"Chinook","Central Coast",1937,5
"Chinook","Central Coast",1938,5
"Chinook","Central Coast",1939,5
"Chinook","Central Coast",1940,5
"Chinook","Central Coast",1941,3
"Chinook","Central Coast",1942,3
"Chinook","Central Coast",1944,1
"Chinook","Central Coast",1945,3
"Chinook","Central Coast",1946,1
"Chinook","Central Coast",1947,1
"Chinook","Central Coast",1948,4
"Chinook","Central Coast",1949,9
"Chinook","Central Coast",1950,16
"Chinook","Central Coast",1951,16
"Chinook","Central Coast",1952,9
"Chinook","Central Coast",1953,17
"Chinook","Central Coast",1954,15
"Chinook","Central Coast",1955,15
"Chinook","Central Coast",1956,18
"Chinook","Central Coast",1957,12
"Chinook","Central Coast",1958,16
"Chinook","Central Coast",1959,26
"Chinook","Central Coast",1960,22
"Chinook","Central Coast",1961,15
"Chinook","Central Coast",1962,18
"Chinook","Central Coast",1963,21
"Chinook","Central Coast",1964,22
"Chinook","Central Coast",1965,19
"Chinook","Central Coast",1966,17
"Chinook","Central Coast",1967,23
"Chinook","Central Coast",1968,20
"Chinook","Central Coast",1969,22
"Chinook","Central Coast",1970,24
"Chinook","Central Coast",1971,26
"Chinook","Central Coast",1972,24
"Chinook","Central Coast",1973,25
"Chinook","Central Coast",1974,25
"Chinook","Central Coast",1975,27
"Chinook","Central Coast",1976,26
"Chinook","Central Coast",1977,33
"Chinook","Central Coast",1978,28
"Chinook","Central Coast",1979,24
"Chinook","Central Coast",1980,28
"Chinook","Central Coast",1981,30
"Chinook","Central Coast",1982,33
"Chinook","Central Coast",1983,32
"Chinook","Central Coast",1984,27
"Chinook","Central Coast",1985,33
"Chinook","Central Coast",1986,37
"Chinook","Central Coast",1987,31
"Chinook","Central Coast",1988,35
"Chinook","Central Coast",1989,37
"Chinook","Central Coast",1990,22
"Chinook","Central Coast",1991,26
"Chinook","Central Coast",1992,24
"Chinook","Central Coast",1993,22
"Chinook","Central Coast",1994,25
"Chinook","Central Coast",1995,14
"Chinook","Central Coast",1996,14
"Chinook","Central Coast",1997,16
"Chinook","Central Coast",1998,16
"Chinook","Central Coast",1999,22
"Chinook","Central Coast",2000,12
"Chinook","Central Coast",2001,16
"Chinook","Central Coast",2002,18
"Chinook","Central Coast",2003,15
"Chinook","Central Coast",2004,17
"Chinook","Central Coast",2005,14
"Chinook","Central Coast",2006,14
"Chinook","Central Coast",2007,11
"Chinook","Central Coast",2008,12
"Chinook","Central Coast",2009,13
"Chinook","Central Coast",2010,13
"Chinook","Central Coast",2011,8
"Chinook","Central Coast",2012,10
"Chinook","Central Coast",2013,9
"Chinook","Central Coast",2014,10
"Chinook","Central Coast",2015,6
"Chinook","Central Coast",2016,8
"Chinook","Central Coast",2017,8
"Chinook","Central Coast",2018,16
"Chinook","Central Coast",2019,15
"Chinook","Central Coast",2020,15
"Chinook","Central Coast",2021,12
"Chinook","Central Coast",2022,9
"Chinook","Columbia",1997,1
"Chinook","Columbia",1998,1
"Chinook","Columbia",2006,1
"Chinook","Columbia",2007,1
"Chinook","Columbia",2008,1
"Chinook","Columbia",2009,1
"Chinook","Columbia",2010,1
"Chinook","Columbia",2011,1
"Chinook","Columbia",2012,1
"Chinook","Columbia",2013,1
"Chinook","Columbia",2014,1
"Chinook","Columbia",2015,1
"Chinook","Columbia",2016,1
"Chinook","Columbia",2017,1
"Chinook","Columbia",2018,1
"Chinook","Columbia",2019,1
"Chinook","Columbia",2020,1
"Chinook","Columbia",2021,1
"Chinook","Columbia",2022,1
"Chinook","Fraser",1951,40
"Chinook","Fraser",1952,40
