"Year","count"
1926,2
1927,2
1928,4
1929,3
1930,2
1933,2
1934,561
1935,589
1936,617
1937,556
1938,608
1939,627
1940,662
1941,599
1942,635
1943,602
1944,649
1945,598
1946,634
1947,712
1948,792
1949,854
1950,1177
1951,1266
1952,1134
1953,2148
1954,2215
1955,2075
1956,2190
1957,2104
1958,2272
1959,2072
1960,2076
1961,2133
1962,2198
1963,2099
1964,2245
1965,2068
1966,2237
1967,2108
1968,2326
1969,2092
1970,2272
1971,2131
1972,2315
1973,2183
1974,2246
1975,2190
1976,2264
1977,2342
1978,2447
1979,2351
1980,2323
1981,2337
1982,2323
1983,2332
1984,2354
1985,2679
1986,2769
1987,2472
1988,2446
1989,2459
1990,2458
1991,2450
1992,2342
1993,2210
1994,1907
1995,1862
1996,2136
1997,1945
1998,2239
1999,1744
2000,1791
2001,1884
2002,1909
2003,1579
2004,1466
2005,1394
2006,1372
2007,1273
2008,1252
2009,1464
2010,1458
2011,1351
2012,1346
2013,1367
2014,1248
2015,1161
2016,1179
2017,1176
2018,1317
2019,1220
2020,1168
2021,1171
2022,1220
