"region","year","population_nb","population_prop"
"Vancouver Island & Mainland Inlets",1926,0,0
"Vancouver Island & Mainland Inlets",1927,0,0
"Vancouver Island & Mainland Inlets",1928,0,0
"Vancouver Island & Mainland Inlets",1929,0,0
"Vancouver Island & Mainland Inlets",1930,0,0
"Vancouver Island & Mainland Inlets",1933,0,0
"Vancouver Island & Mainland Inlets",1934,48,0.0236686390532544
"Vancouver Island & Mainland Inlets",1935,51,0.0251479289940828
"Vancouver Island & Mainland Inlets",1936,53,0.0261341222879684
"Vancouver Island & Mainland Inlets",1937,56,0.0276134122287968
"Vancouver Island & Mainland Inlets",1938,15,0.00739644970414201
"Vancouver Island & Mainland Inlets",1939,62,0.0305719921104536
"Vancouver Island & Mainland Inlets",1940,60,0.029585798816568
"Vancouver Island & Mainland Inlets",1941,11,0.00542406311637081
"Vancouver Island & Mainland Inlets",1942,55,0.027120315581854
"Vancouver Island & Mainland Inlets",1943,56,0.0276134122287968
"Vancouver Island & Mainland Inlets",1944,45,0.022189349112426
"Vancouver Island & Mainland Inlets",1945,0,0
"Vancouver Island & Mainland Inlets",1946,21,0.0103550295857988
"Vancouver Island & Mainland Inlets",1947,20,0.00986193293885602
"Vancouver Island & Mainland Inlets",1948,27,0.0133136094674556
"Vancouver Island & Mainland Inlets",1949,27,0.0133136094674556
"Vancouver Island & Mainland Inlets",1950,39,0.0192307692307692
"Vancouver Island & Mainland Inlets",1951,32,0.0157790927021696
"Vancouver Island & Mainland Inlets",1952,42,0.0207100591715976
"Vancouver Island & Mainland Inlets",1953,813,0.400887573964497
"Vancouver Island & Mainland Inlets",1954,881,0.434418145956607
"Vancouver Island & Mainland Inlets",1955,844,0.416173570019724
"Vancouver Island & Mainland Inlets",1956,949,0.467948717948718
"Vancouver Island & Mainland Inlets",1957,894,0.440828402366864
"Vancouver Island & Mainland Inlets",1958,944,0.465483234714004
"Vancouver Island & Mainland Inlets",1959,847,0.417652859960552
"Vancouver Island & Mainland Inlets",1960,846,0.417159763313609
"Vancouver Island & Mainland Inlets",1961,828,0.408284023668639
"Vancouver Island & Mainland Inlets",1962,867,0.427514792899408
"Vancouver Island & Mainland Inlets",1963,810,0.399408284023669
"Vancouver Island & Mainland Inlets",1964,882,0.43491124260355
"Vancouver Island & Mainland Inlets",1965,847,0.417652859960552
"Vancouver Island & Mainland Inlets",1966,892,0.439842209072978
"Vancouver Island & Mainland Inlets",1967,787,0.388067061143984
"Vancouver Island & Mainland Inlets",1968,903,0.445266272189349
"Vancouver Island & Mainland Inlets",1969,759,0.374260355029586
"Vancouver Island & Mainland Inlets",1970,888,0.437869822485207
"Vancouver Island & Mainland Inlets",1971,808,0.398422090729783
"Vancouver Island & Mainland Inlets",1972,872,0.429980276134122
"Vancouver Island & Mainland Inlets",1973,813,0.400887573964497
