"species","year","population_nb","population_prop"
"Coho",1926,1,0.000589970501474926
"Coho",1927,1,0.000589970501474926
"Coho",1928,0,0
"Coho",1929,1,0.000589970501474926
"Coho",1930,0,0
"Coho",1933,1,0.000589970501474926
"Coho",1934,157,0.0926253687315634
"Coho",1935,159,0.0938053097345133
"Coho",1936,160,0.0943952802359882
"Coho",1937,135,0.079646017699115
"Coho",1938,145,0.0855457227138643
"Coho",1939,155,0.0914454277286136
"Coho",1940,167,0.0985250737463127
"Coho",1941,135,0.079646017699115
"Coho",1942,150,0.0884955752212389
"Coho",1943,160,0.0943952802359882
"Coho",1944,178,0.105014749262537
"Coho",1945,153,0.0902654867256637
"Coho",1946,157,0.0926253687315634
"Coho",1947,182,0.107374631268437
"Coho",1948,217,0.128023598820059
"Coho",1949,238,0.140412979351032
"Coho",1950,308,0.181710914454277
"Coho",1951,382,0.225368731563422
"Coho",1952,321,0.189380530973451
"Coho",1953,685,0.404129793510324
"Coho",1954,676,0.39882005899705
"Coho",1955,653,0.385250737463127
"Coho",1956,666,0.392920353982301
"Coho",1957,637,0.375811209439528
"Coho",1958,674,0.3976401179941
"Coho",1959,629,0.371091445427729
"Coho",1960,601,0.354572271386431
"Coho",1961,646,0.381120943952802
"Coho",1962,638,0.376401179941003
"Coho",1963,629,0.371091445427729
"Coho",1964,675,0.398230088495575
"Coho",1965,669,0.394690265486726
"Coho",1966,682,0.4023598820059
"Coho",1967,671,0.395870206489676
"Coho",1968,710,0.418879056047198
"Coho",1969,672,0.39646017699115
"Coho",1970,677,0.399410029498525
"Coho",1971,650,0.383480825958702
"Coho",1972,643,0.379351032448378
"Coho",1973,633,0.373451327433628
"Coho",1974,645,0.380530973451327
"Coho",1975,672,0.39646017699115
"Coho",1976,667,0.393510324483776
"Coho",1977,720,0.424778761061947
"Coho",1978,710,0.418879056047198
"Coho",1979,723,0.426548672566372
"Coho",1980,667,0.393510324483776
"Coho",1981,662,0.390560471976401
"Coho",1982,651,0.384070796460177
"Coho",1983,640,0.377581120943953
"Coho",1984,708,0.417699115044248
"Coho",1985,714,0.421238938053097
"Coho",1986,844,0.497935103244838
"Coho",1987,719,0.424188790560472
"Coho",1988,631,0.372271386430678
"Coho",1989,690,0.407079646017699
"Coho",1990,640,0.377581120943953
"Coho",1991,673,0.397050147492625
"Coho",1992,619,0.365191740412979
"Coho",1993,567,0.334513274336283
"Coho",1994,390,0.230088495575221
"Coho",1995,461,0.271976401179941
"Coho",1996,461,0.271976401179941
"Coho",1997,452,0.266666666666667
"Coho",1998,646,0.381120943952802
"Coho",1999,490,0.289085545722714
"Coho",2000,490,0.289085545722714
"Coho",2001,498,0.293805309734513
"Coho",2002,489,0.288495575221239
"Coho",2003,413,0.243657817109145
"Coho",2004,363,0.214159292035398
"Coho",2005,309,0.182300884955752
"Coho",2006,267,0.157522123893805
"Coho",2007,285,0.168141592920354
"Coho",2008,300,0.176991150442478
"Coho",2009,299,0.176401179941003
"Coho",2010,308,0.181710914454277
"Coho",2011,328,0.193510324483776
"Coho",2012,274,0.16165191740413
"Coho",2013,289,0.170501474926254
"Coho",2014,244,0.143952802359882
"Coho",2015,239,0.141002949852507
"Coho",2016,244,0.143952802359882
"Coho",2017,268,0.15811209439528
"Coho",2018,292,0.172271386430678
"Coho",2019,290,0.171091445427729
"Coho",2020,289,0.170501474926254
"Coho",2021,273,0.161061946902655
"Coho",2022,202,0.119174041297935
"Chum",1926,1,0.00072463768115942
"Chum",1927,1,0.00072463768115942
"Chum",1928,1,0.00072463768115942
"Chum",1929,1,0.00072463768115942
"Chum",1930,0,0
"Chum",1933,0,0
"Chum",1934,174,0.126086956521739
"Chum",1935,206,0.149275362318841
"Chum",1936,205,0.148550724637681
"Chum",1937,195,0.141304347826087
"Chum",1938,181,0.131159420289855
"Chum",1939,198,0.143478260869565
"Chum",1940,199,0.144202898550725
"Chum",1941,196,0.142028985507246
"Chum",1942,202,0.146376811594203
"Chum",1943,200,0.144927536231884
"Chum",1944,189,0.13695652173913
"Chum",1945,187,0.135507246376812
"Chum",1946,181,0.131159420289855
"Chum",1947,234,0.169565217391304
"Chum",1948,238,0.172463768115942
"Chum",1949,240,0.173913043478261
"Chum",1950,335,0.242753623188406
"Chum",1951,348,0.252173913043478
"Chum",1952,277,0.200724637681159
"Chum",1953,704,0.510144927536232
