"region","region_survey","GFE_ID"
"Fraser","Fraser",67
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2615
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2624
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2625
"Fraser","Fraser",11
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2627
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2616
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",3541
"Fraser","Fraser",256
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2620
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2622
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2623
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2621
"Fraser","Fraser",4
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2626
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2706
"Haida Gwaii","Haida Gwaii",3546
"Haida Gwaii","Haida Gwaii",3547
"Central Coast","Central Coast",3553
"Central Coast","Central Coast",2090
"Central Coast","Central Coast",2092
"Central Coast","Central Coast",2093
"Central Coast","Central Coast",2095
"Central Coast","Central Coast",2096
"Central Coast","Central Coast",2239
"Central Coast","Central Coast",2242
"Central Coast","Central Coast",2244
"Central Coast","Central Coast",2245
"Central Coast","Central Coast",2246
"Central Coast","Central Coast",2250
"Central Coast","Central Coast",2683
"Central Coast","Central Coast",3403
"Central Coast","Central Coast",2241
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2470
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2487
"Central Coast","Central Coast",2830
"Central Coast","Central Coast",2831
"Skeena","Skeena",463
"Nass","Nass",2236
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",11485
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",11486
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2007
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",2819
"Yukon","Yukon",2491
"Central Coast","Central Coast",2686
"Central Coast","Central Coast",2687
"Central Coast","Central Coast",2688
"Central Coast","Central Coast",2689
"Central Coast","Central Coast",2690
"Central Coast","Central Coast",2691
"Central Coast","Central Coast",2708
"Central Coast","Central Coast",3555
"Central Coast","Central Coast",2693
"Central Coast","Central Coast",2692
"Fraser","Fraser",141
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1289
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1290
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1291
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1292
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1293
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1294
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1295
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1296
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1421
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1422
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1423
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1424
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1425
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1426
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1427
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1428
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1429
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1430
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1431
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1432
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1433
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1434
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1435
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1436
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1437
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1438
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1439
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1440
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1441
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1442
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1443
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1444
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1445
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1446
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1447
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1448
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1449
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1450
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1451
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1452
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1453
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1454
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1455
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1456
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1204
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1205
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1206
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1207
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1208
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1209
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1210
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1211
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1215
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1216
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1217
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1219
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1220
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1221
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1222
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1223
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1224
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1225
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1226
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1227
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1228
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1231
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1232
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1234
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1235
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1237
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1238
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1241
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1242
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1243
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1245
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1246
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1247
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1248
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1249
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1250
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1251
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1252
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1253
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1254
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1255
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1256
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1257
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1258
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1259
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1261
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1267
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1269
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1270
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1271
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1272
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1273
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1274
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1275
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1276
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1277
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1278
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1279
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1280
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1281
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1282
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1283
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1284
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1285
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1286
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1287
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1288
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1297
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1298
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1299
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1300
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1301
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1416
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1417
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1418
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1419
"Vancouver Island & Mainland Inlets","Vancouver Island & Mainland Inlets",1420
"Haida Gwaii","Haida Gwaii",1547
"Haida Gwaii","Haida Gwaii",1548
"Haida Gwaii","Haida Gwaii",1549
"Haida Gwaii","Haida Gwaii",1550
"Haida Gwaii","Haida Gwaii",1551
"Haida Gwaii","Haida Gwaii",1552
